Farm ID,Farm Size (Acres),Crop Type,Annual Yield (Tons),Soil pH,Rainfall (mm/year),Temperature (°C),Fertilizer Usage (kg/acre)
899,11.44,Rice,5.97,5.67,1795.58,16.59,132.72
900,47.33,Corn,8.22,6.76,383.68,16.98,309.62
901,107.9,Rice,40.88,6.88,692.84,33.27,119.68
902,18.13,Corn,30.23,7.68,1825.56,10.62,210.29
903,94.81,Corn,24.01,7.22,735.53,27.42,363.66
904,293.61,Corn,28.82,7.5,675.11,28.13,302.05
905,213.61,Rice,80.54,7.83,534.81,30.91,223.91
906,446.87,Wheat,92.99,8.09,1760.49,34.36,239.11
907,409.63,Corn,41.11,6.44,1150.1,34.39,302.95
908,174.2,Wheat,90.7,7.11,1447.32,11.63,52.64
909,133.41,Wheat,32.83,8.02,706.41,30.55,85.33
910,192.95,Rice,48.17,8.47,1588.67,26.16,446.57
911,297.2,Wheat,23.38,8.17,1592.01,26.18,85.05
912,137.69,Wheat,64.41,6.61,831.42,13.21,368.06
913,313.95,Rice,97.92,6.09,998.16,26.25,464.02
914,207.66,Corn,60.75,6.97,656.47,34.56,171.81
915,278.26,Wheat,36.42,7.72,1960.15,32.8,216.72
916,220.88,Rice,65.13,6.98,1397.52,20.98,306.01
917,150.76,Wheat,13.17,6.95,1888.72,11.0,446.77
918,474.48,Wheat,88.98,8.01,815.76,19.06,473.86
919,382.98,Corn,50.81,6.58,1629.21,30.66,382.8
920,74.36,Wheat,45.49,8.08,1601.96,27.54,88.98
921,434.89,Rice,59.0,6.72,1475.81,21.48,351.12
922,246.28,Wheat,62.85,6.48,1941.59,11.38,234.64
923,447.8,Corn,8.11,6.86,969.04,20.67,261.82
924,400.93,Corn,68.58,7.79,522.22,21.73,72.12
925,215.48,Rice,24.95,5.88,1441.91,33.21,135.98
926,16.12,Corn,71.68,6.09,1539.83,26.03,405.73
927,138.0,Wheat,82.43,8.35,1277.6,17.79,254.28
928,273.11,Corn,80.59,6.03,651.59,23.13,185.75
929,318.57,Rice,55.7,7.2,1157.58,11.65,222.81
930,132.65,Corn,52.5,7.24,830.72,34.31,434.48
931,73.98,Corn,15.14,6.97,1026.69,19.0,387.05
932,418.29,Corn,77.76,7.43,1396.87,21.95,172.54
933,492.28,Rice,27.87,6.19,1566.87,18.88,102.88
934,265.22,Corn,50.17,7.16,694.78,27.06,163.4
935,89.98,Corn,29.14,6.62,989.05,26.56,464.34
936,139.79,Wheat,14.25,7.49,757.57,27.88,311.71
937,14.1,Rice,63.33,5.92,637.67,16.7,290.07
938,457.58,Corn,6.38,7.21,1631.76,17.89,318.38
939,63.29,Rice,75.12,6.06,1845.73,13.13,214.71
940,290.38,Corn,32.44,6.34,929.39,26.39,413.2
941,140.66,Corn,1.01,6.16,1577.17,10.99,285.48
942,279.32,Corn,51.6,6.05,1824.89,24.94,102.54
943,327.45,Wheat,5.64,7.98,1738.41,31.74,108.08
944,415.72,Wheat,28.34,6.36,610.78,32.27,291.59
945,107.18,Wheat,70.99,8.28,1925.7,21.23,471.46
946,10.44,Rice,7.21,8.41,940.35,21.48,188.76
947,72.76,Rice,84.09,7.21,876.71,11.92,441.29
948,450.51,Wheat,1.38,5.93,406.13,26.77,393.84
949,437.58,Rice,25.44,6.62,1126.5,30.53,161.52
950,300.72,Corn,74.35,7.89,485.32,16.12,66.35
951,302.26,Corn,32.31,6.6,722.52,20.53,95.83
952,334.19,Corn,11.09,5.76,838.8,30.97,377.82
953,91.81,Wheat,36.66,7.17,1675.0,31.93,139.85
954,457.63,Rice,27.77,8.04,1788.33,16.08,217.07
955,212.29,Wheat,84.43,7.89,814.19,23.76,275.76
956,194.65,Rice,32.02,6.03,1759.79,14.81,376.46
957,261.86,Corn,79.1,7.52,1757.29,12.55,100.95
958,28.25,Wheat,89.3,6.16,1599.91,32.78,232.86
959,87.31,Rice,43.95,6.15,549.38,30.51,268.28
960,370.33,Rice,91.08,8.12,1473.55,29.0,293.37
961,45.99,Corn,38.35,6.25,1906.54,11.22,418.26
962,303.56,Wheat,96.44,6.29,1460.32,31.09,127.26
963,126.45,Wheat,9.84,5.5,863.75,20.95,413.52
964,197.7,Wheat,69.01,8.11,1150.98,18.56,361.8
965,147.9,Corn,49.89,7.88,1397.73,23.66,300.14
966,181.06,Wheat,39.38,7.38,1167.97,12.28,364.79
967,360.93,Corn,63.64,7.75,503.92,28.92,235.41
968,152.08,Corn,70.68,5.96,830.51,24.56,112.28
969,285.37,Corn,1.43,6.87,1664.07,14.66,349.59
970,240.64,Rice,17.53,6.55,1764.41,14.71,286.1
971,333.52,Wheat,71.59,5.78,533.41,14.61,337.72
972,468.73,Wheat,66.97,6.96,1919.06,11.43,202.1
973,367.62,Corn,96.64,8.26,859.0,24.69,458.09
974,111.4,Corn,76.34,5.62,1425.93,31.01,314.32
975,20.44,Wheat,95.13,6.37,1578.1,10.44,88.43
976,134.82,Corn,70.55,6.12,1680.31,11.23,252.41
977,299.56,Wheat,30.51,6.21,1907.77,24.32,390.36
978,30.46,Rice,11.43,8.23,831.96,30.49,407.36
979,250.7,Corn,78.4,6.9,1759.46,18.17,272.57
980,300.44,Wheat,64.77,6.9,523.87,18.74,452.64
981,170.45,Corn,5.77,7.78,1498.57,24.91,170.45
982,386.6,Wheat,36.64,5.96,1561.36,16.86,234.77
983,57.77,Wheat,95.72,6.96,1452.13,10.67,454.37
984,42.19,Corn,50.54,6.79,728.94,28.38,453.32
985,365.45,Rice,43.84,7.29,1784.17,25.64,358.57
986,250.27,Wheat,46.31,8.5,587.06,24.52,436.54
987,345.76,Wheat,21.68,7.81,391.18,28.54,89.95
988,220.24,Wheat,37.5,6.69,1519.69,26.88,439.25
989,126.97,Rice,37.61,7.98,1108.31,15.15,194.28
990,410.46,Rice,6.18,6.01,1743.47,18.81,130.25
991,400.71,Corn,76.99,5.59,951.78,13.15,157.72
992,348.87,Rice,42.23,6.11,586.07,13.25,238.09
993,139.71,Corn,82.4,6.52,1721.95,26.9,163.04
994,297.16,Corn,85.18,7.03,1233.15,31.47,194.26
995,183.68,Rice,21.99,7.35,621.63,34.07,110.74
996,50.33,Corn,66.08,8.23,1524.65,25.71,183.28
997,459.07,Rice,47.76,7.03,1168.89,14.6,307.53
998,72.73,Corn,88.14,7.0,1327.33,12.64,248.83
999,475.37,Rice,22.36,5.65,1083.53,30.32,206.02
1000,225.77,Rice,68.1,5.6,1708.81,24.47,385.9
